filename,Dish_name,Home_restaurant,Cuisine,Ingredients,Diet,Healthiness_rating,How_much_did_you_like_it,Rice_Chips,Benchmark_A
00024.jpg,king_crab,restaurant,norwegian,"french_fries,king_crab,shrimp,lettuce,seaweed",vegetarian,healthy,like,chips,Train
00025.jpg,chicken_biryani,home,indian,"chicken,rice,chilli_powder,turmeric_powder,ghee,meat_masala,tomato,onion,salt",non-veg,healthy,like,rice,Train
00026.jpg,steamed_rice,home,chinese,rice,vegan,neutral,like,rice,Test
00027.jpg,lemon_rice,home,south_indian,"rice,onion,chilli,turmeric_powder,tomato,salt,indian_spices",vegetarian,healthy,like,rice,Train
00028.jpg,grilled_chicken_wrap,restaurant,portuguese,"chips,chicken,lettuce,peri-peri_sauce,halloumi,",non-veg,neutral,strongly_like,chips,Test
00029.jpg,grilled_chicken_wings_and_chips,restaurant,english,"1/2_chicken,olive_oil,salt,pepper,herbs/spices,lemon_juice",non-veg,healthy,dislike,chips,Train
00030.jpg,mutton_korma,home,indian,"meat,onion,curd,cream,wheat_flour,potatoes,spices,garlic,onion,rice,ginger_garlic_paste,",non-veg,healthy,strongly_like,rice,Test
00031.jpg,chilli_con_carne,home,mexican,"black_beans,rice,chilli,sour_cream,minced_beef,peppers,onions",non-veg,neutral,like,rice,Train
00032.jpg,ribeye_steak,restaurant,lebanese,"ribeye_steak_with_garlic_sauce,fries,mixed_salad_and_bread",non-veg,unhealthy,strongly_like,chips,Train
00033.jpg,pulao_rice_with_chicken_tikka_masala,home,south-indian,"basmati_rice,onions,oil,turmeric,cardamom,cloves,chicken,garlic,yogurt,green_chillies,ginger,lemonjuice,tomatoes,cashew_nuts,coriander,butter,bay_leaf_powder",non-veg,unhealthy,like,rice,Train
00034.jpg,dal_and_rice_meal,restaurant,indian,"rice,cucumber,chickpea,potato,tomato,coconut,farina,ghee,lettuce,indian_spices",vegetarian,neutral,like,rice,Train
00035.jpg,burger_and_fries,restaurant,american,"brioche_bun,chicken_breast,bbq_sauce,cheese,onions,pickles,french_fries,ranch_sauce",non-veg,very_unhealthy,like,chips,Train
00036.jpg,lamb_pulao,home,pakistani,"lamb_chops,corriander_powder,salt,garam_masala,ginger,garlic,onion,oil,basmati_rice",non-veg,healthy,strongly_like,rice,Test
00037.jpg,whale_burger,restaurant,norwegian,"bread,french_fries,whale_meat",non-veg,neutral,neutral,chips,Train
00038.jpg,cheeseburger_and_fries,fried_&_grilled,american,"bun,beef_patty,american_cheese,lettuce,mayonnaise,potato,vegetable_oil,salt,pepper,",non-veg,unhealthy,like,chips,Test
00039.jpg,chicken_biryani,home,indian,"onion,white_rice,chicken,whole_spices,oil,tomato,ginger_garlic_paste,green_chillis",non-veg,neutral,strongly_like,rice,Test
00040.jpg,rice_with_chicken_curry,home,indian,"chicken,chicken_curry_powder,onion,tomato,sunflower_oil_and_rice",non-veg,healthy,like,rice,Test
00041.jpg,burger_and_chips,shake_shack,american,"chicken_fillet,lettuce,pickles,mayo,potato_chips",non-veg,very_healthy,neutral,chips,Train
00042.jpg,chicken_biryani,home,indian,"chicken,rice,lettuce_leaves,ginger,garlic,biryani_mix",non-veg,healthy,strongly_like,rice,Train
00043.jpg,lu_fan_(braised_rice),home,chinese,"rice,muchroom,tofu,carrot,corn_shoots,chinese_cabbage,fungus,bamboo_shoots,egg",vegetarian,healthy,strongly_like,rice,Train
00044.jpg,chicken_fillet_burger_and_chips,lakers,american,"seeded_bun,chicken_fillet,lettuce,mayoniaise,cheese,potato,vegetable_oil",non-veg,unhealthy,strongly_like,chips,Train
00045.jpg,grilled_chicken_wrap_and_fries,restaurant,portuguese,"grilled_bbq_chicken,tortilla,lettuce,cheese,mayonnaise",non-veg,neutral,like,chips,Test
00046.jpg,meat_ball_rice,home,chinese,"pork_meat_ball,rice,cucumber,cabbage,hoisin_sauce",non-vegetarian,healthy,like,rice,Train
00047.jpg,egg_fried_rice,home,chinese,"egg,rice,spam",non-veg,neutral,neutral,rice,Train
00048.jpg,braised_pork_and_potatoes_over_rice,home,chinese,"potato,pork,rice,lettuce",non-veg,neutral,like,rice,Train
00049.jpg,rice_with_chicken_masala,restaurant,indian,"chicken,rice,ginger,garlic,onion,black_pepper,cocunut,indian_spices",non-veg,healthy,like,rice,Train
00050.jpg,fried_rice,restaurant,malaysian,"rice,chicken,soy_sauce,spring_onion,cabbage,carrot,egg,shrimp_paste",non-veg,neutral,neutral,rice,Train
00051.jpg,tomato_pulav,home,indian,"rice,tomato,onion,turmeric,ghee,chilli,garam_masala,salt",vegetarian,neutral,neutral,rice,Test
00052.jpg,fried_chicken_burger_with_fries,restaurant,british,"bread,french_fries,chicken",non-veg,unhealthy,neutral,chips,Train
00053.jpg,beef_burger_with_fries,restaurant,british,"french_fries,bread,beef",non-veg,unhealthy,like,chips,Test
00054.jpg,grilled_chicken_strips_and_chips,restaurant,english,"chicken_breast,olive_oil,salt,pepper,herbs/spices,lemon_juice",non-veg,healthy,neutral,chips,Train
00055.jpg,fried_rice_with_mandazis,home,indonesian,"cooked_mandazi,rice,salt,water,tomato,onions,olive_oil,",non-veg,healthy,strongly_like,rice,Test
00056.jpg,burger_and_chips,mcdonalds,american,"beef,lettuce,gherkin,tomatoes,potatoes,salt,mayonnaise,ketchup,cheese",non-veg,healthy,neutral,chips,Train
00057.jpg,rice_beans_with_stewed_eggs,home,mexican,"cooked_rice,water,eggs,tomato,red_pepper,onion,olive_oil,red_chilli,salt,garlic_powder",non-veg,healthy,strongly_like,rice,Train
00058.jpg,beef_burger_and_fries,resturaunt,american,"angus_beef_patty,lettuce,onion_ring,turkey_bacon,jalapeño,double_cheese,house_naga_sauce,served_in_a_toasted_brioche_bun",non-veg,neutral,strongly_like,chips,Train
00059.jpg,rice_with_chicken_curry,home,south-indian,"basmati_rice,chicken,onion,oil,garlic,ginger,tomatoes,yogurt,coriander_leaves",non-veg,neutral,strongly_like,rice,Train
00060.jpg,"marinated_chicken_breast,fresh_salad_and_rice",restaurant,european,"chicken_breast,olive_oil,pepper,herbs,lemon,lemon_zest,cucumber,tomatoes,onion,iceberg_lettuce,salad_cream,rice,sriracha_sauce",non-veg,healthy,like,rice,Train
00061.jpg,rice_beef_with_potato,home,zimbabwean,"beef_steak,water,potato,rice,tomato,red_pepper,onion,olive_oil,red_chilli,salt,garlic_powder",non-veg,healthy,strongly_like,rice,Test
00062.jpg,piri_piri_burger_and_chips,restaurant,portuguese,"bun,marinated_chicken,potatoe,lettuce,tomatoes",,neutral,strongly_like,chips,Test
00063.jpg,potato_wedges,restaurant,american,"potatoes,olive_oil,salt",vegan,unhealthy,like,chips,Train
00064.jpg,salmon_and_sweet_potato_chips,home,british,"salmon,tomato_sauce,galic,sweet_potato,olive_oil,dill",non-veg,healthy,like,chips,Train
00065.jpg,fried_rice,home,peruvian,"vegetable_oil,ginger,chicken,white_rice,soy_sauce,egg,sesame_oil,salt,pepper",non-veg,neutral,strongly_like,rice,Train
00066.jpg,kentucky_fried_chicken,restaurant,american,"popcorn_chicken,fries,burger,chicken_wrap",non-veg,very_unhealthy,strongly_like,chips,Train
00067.jpg,chicken_wrap_and_chips,restaurant,portuguese,"tortilla,chicken_strips,lettuce,mayonnaise,lemon_and_herb_sauce,chips",non-veg,neutral,neutral,chips,Train
00068.jpg,fried_chicken_and_chips,restaurant,british,"chicken_wings,potato,peanut_oil,coriander,salt",non-veg,unhealthy,like,chips,Test
00069.jpg,steak,restaurant,british,"chips,steak,tomato,onion,gravy",non-veg,unhealthy,strongly_like,chips,Train
00070.jpg,chicken_with_pancakes,restaurant,british,"pancakes,french_fries,chicken,red_cabbage",vegetarian,healthy,dislike,chips,Test
00071.jpg,fried_chicken_and_chips,resturant,american,"chicken_wings,fries,flour,all_spice,salt",non-veg,unhealthy,neutral,chips,Train
00072.jpg,chicken_burger_and_chips,home,english,"chicken_fillet,bun,chips,lettuce",non-veg,neutral,like,chips,Train
00073.jpg,chicken_and_chips,shake_shack,american,"chicken,potato_chips",non-veg,very_unhealthy,neutral,chips,Test
00074.jpg,grilled_chicken_and_fries,restaurant,american,"grilled_chicken_leg,fried_potatoes,",non-veg,unhealthy,neutral,chips,Train
00075.jpg,rice_with_mutton_curry,home,indian,"rice,lamb,spices,chilly_powder,tomato,onion,sunflower_oil,coriander_powder_and_salt",non-veg,healthy,like,rice,Test
00076.jpg,chicken_burger_and_chips,chicken_shop,british,"chicken_fillet,lettuce,spicy_shake,samurai_sauce,spicy_slaw,chips",non-veg,very_unhealthy,like,chips,Train
00077.jpg,rice_&_chapati_with_cauliflower_&_dal,home,indian,"rice,wheat_flour,cauliflower,yellow_pigeon_peas",vegetarian,healthy,like,rice,Train
00078.jpg,chips,home,american,"chips,salt",vegan,unhealthy,like,chips,Train
00079.jpg,chicken_and_rice,home,chinese,"chicken,oil_rice,chicken_spices",non-veg,healthy,strongly_like,rice,Train
00080.jpg,chicken_wings_with_fries_and_garlic_mayonaise,restaurant,american,"chicken_wings,baking_powder,salt,black_pepper,potatoes,sunflower_oil,mayonaise,garlic,lemon_juice,olive_oil",non-veg,very_unhealthy,neutral,chips,Train
00081.jpg,mexican_chicken_with_fries_and_salad,restaurant,mexican_&_american,"grilled_chicken_leg_and_breast,chilli_powder,cumin_seeds,paprika,oregano,garlic,onion_powder,cilantro,lime_juice,lettuce,onions,lemon,jalapenos,carrot,potatoes",non-veg,healthy,like,chips,Train
00082.jpg,red_lentils_rice,home,indian,"red_lentils,oil,salt,onions,rice",vegan,very_healthy,strongly_like,rice,Train
00083.jpg,fried_rice_with_beans,home,kenyan,"rice,beans,water,tomato,red_pepper,onion,olive_oil,red_chilli,salt,garlic_powder,",non-veg,healthy,strongly_like,rice,Test
00084.jpg,"special_byriani,veggie_stew_and_samosas",restaurant,indian,"rice,lamb_meat,chicken_meat,prawns,coriander,chili,oil,garlic,green_beans,potatoes,carrots,sweetcorn,chickpeas,onion,broccoli,phyllo_pastry",non-veg,neutral,like,rice,Test
00085.jpg,burger,restaurant,english,"chips,bread,fried_chicken_fillet,cips,ketchup,lettuce,mayonaise",non-veg,unhealthy,like,chips,Test
00086.jpg,black_gram_lentils_and_rice,home,indian,"water,black_gram_lentils,cumin,garlic,onion,ginger,salt,turmeric,red_chilli_powder,garam_masala,green_chilli",vegetarian,very_healthy,strongly_like,rice,Train
00087.jpg,chicken_gyro,restaurant,british,"fried,flat_bread,garlic_sauce,chilli_sauce,red_cabbage",non-veg,neutral,neutral,chips,Train
00088.jpg,porkchop,home,british,"pork_chop,potato’s,olive_oil,cucumber,lettuce,rosemary,thyme,pepper,salt,lemon",non-veg,healthy,strongly_like,chips,Train
00089.jpg,rice_and_rasam_curry,home,indian,"rice,tomato,tomato_paste,pepper_powder,dry_indian_chilli,green_leaves",vegetarian,very_healthy,strongly_dislike,rice,Train
00090.jpg,chicken_jalfrezi_with_pilau_rice,restaurant,england,"olive_oil,chicken_breast,rice,spicy_curry,onion,tomato,green_pepper,sauce,water",non-veg,unhealthy,dislike,rice,Train
00091.jpg,veg_biyani,home,indian,,,,,rice,Train
00092.jpg,chicken_fried_rice,tiantian,chinese,"peanut_oil,egg,chicken,spring_onion",non-veg,neutral,strongly_like,rice,Train
00093.jpg,"rice_with_mixed_vegetable_curry,french_beans_stir_fry,sardines_fry_and_bittergourd_fry",home,indian,"white_rice,french_beans,carrot,potato,aubergine,radish,sunflower_oil,turmeric_powder,salt,turmeric,water",non-veg,very_healthy,strongly_like,rice,Train
00094.jpg,fried_chicken_steak,restaurant,british,"french_fries,chicken,cucumbers,tomatoes,lettuce",vegetarian,healthy,dislike,chips,Train
00095.jpg,breaded_chicken_with_katsu_curry_sauce_rice_&_salad,the_curve,japanese,"chicken,curry,rice,greens,bell_pepper",non-veg,healthy,strongly_like,rice,Train
00096.jpg,chicken_wrap_with_fries,roosters_piri_piri,portuguese,"tortilla_wrap,chicken,olive_oil,piri_piri_sauce,cheddar_cheese,mayonnaise,lettuce,potato_fries",non-veg,healthy,strongly_like,chips,Train
00097.jpg,butter_chicken,restaurant,indian,"garlic,tomato,onion,white_rice,naan_bread,cashew_nuts,yoghurt,butter,chicken,ginger,double_cream",non-veg,neutral,like,rice,Train
00098.jpg,fish_and_chips,restaurant,british,"breaded_cod,fried_potatoes",non-veg,healthy,strongly_like,chips,Train
00099.jpg,burghul,home,turkish,"butter,olive_oil,burghul",vegetarian,very_healthy,neutral,rice,Test
